,university 1,university 2,cosine distance,jaccard distance
33,Aeres, EUR ,0.8363898693080297,0.9166666666666666
34,Saxion, EUR ,0.7010641260330925,0.8242774566473988
35,NHL Stendedn, EUR ,0.7258719298750868,0.8693441789527199
36, Universiteit Utrecht , EUR ,0.8767618198270483,0.9602888086642599
37,The Hague, EUR ,0.868802518967454,0.9381598793363499
38, HAS, EUR ,0.8275955247982043,0.9162861491628616
39, Hotelschool The Hague, EUR ,0.8109214332233032,0.9001367989056087
40, Design academy Eindhoven , EUR ,0.804825002201915,0.893483709273183
41, Royal academy of art The Hague, EUR ,0.8605556147944309,0.9344512195121951
42,Wittenborg, EUR ,0.8842012591944034,0.9483568075117371
43, Royal Conservatoire The Hague, EUR ,0.8789243754917663,0.9666048237476809
44,codarts, EUR ,0.8899750450819792,0.954248366013072
45,Webster, EUR ,0.845520019856638,0.9348914858096828
46,amsterdamuas, EUR ,0.7977125475812371,0.8875278396436526
47, EUR , Leiden University ,0.7169442941426932,0.8549382716049383
48, Leiden University , Leiden University ,0.0,0.0
49, WUR , Leiden University ,0.8702882792511519,0.972201901975128
50, rug , Leiden University ,0.7382273873384271,0.8494909251881364
51, Maastricht University , Leiden University ,0.8033045255431916,0.9253935660506503
52, Vrije Universiteit Amsterdam , Leiden University ,0.68095287963603,0.8305504019789733
53, TU Eindhoven , Leiden University ,0.897003122439642,0.9844559585492227
54, University of Twente , Leiden University ,0.651185027793878,0.7962138084632517
55, Tilburg University , Leiden University ,0.6503493323222532,0.7925333333333333
56, Open University , Leiden University ,0.8079440979146014,0.9437229437229437
57, HAN , Leiden University ,0.8648336291818518,0.974188790560472
58,ZUYD, Leiden University ,0.7576424761547724,0.8766388557806913
59,AUAS , Leiden University ,0.7189411805031349,0.8717434869739479
60, international HU , Leiden University ,0.7785674537481685,0.9052352551358516
61,tinbergen, Leiden University ,0.8573013200873277,0.9551506657323056
62,artez, Leiden University ,0.8020335589012544,0.919732441471572
63,Viaa, Leiden University ,0.9116344710812856,0.976628895184136
64,marnix, Leiden University ,0.7933002333521147,0.9088558500323206
65,hku, Leiden University ,0.8115412269091264,0.9177906229929351
66, Amsterdam University College, Leiden University ,0.7997700038708002,0.9299229152067274
67,avans, Leiden University ,0.6943295952471967,0.8225063938618926
68, UVH , Leiden University ,0.6755944299250618,0.8063943161634103
69,vlhuas , Leiden University ,0.9041066565048248,0.9697386519944979
70,Windesheim, Leiden University ,0.8520841551686926,0.9530483531885073
71,AHK , Leiden University ,0.7689300921383401,0.886780905752754
72, TIAS , Leiden University ,0.6974169155985104,0.8252980819077242
73,BUAS , Leiden University ,0.7727136888555854,0.8948374760994264
74,TU Delft, Leiden University ,0.8857194683873167,0.9738941261783901
75, HZ , Leiden University ,0.7636486749049473,0.8791985857395404
76, tio , Leiden University ,0.8101076423330987,0.9282786885245902
77, hogeschool Leiden , Leiden University ,0.9202290128539453,0.9881918819188192
78, rotterdam uas , Leiden University ,0.7189215569445389,0.8467236467236468
79,Fontys, Leiden University ,0.7857240032262189,0.9101198402130493
80,Aeres, Leiden University ,0.7939813217574424,0.9185888738127544
81,Saxion, Leiden University ,0.6724678782669449,0.8292063492063492
82,NHL Stendedn, Leiden University ,0.6612300180489113,0.7978723404255319
83, Universiteit Utrecht , Leiden University ,0.8647446746669134,0.9714076246334311
84,The Hague, Leiden University ,0.8791522286607227,0.9585034013605442
85, HAS, Leiden University ,0.8331018713424488,0.9408121128699243
86, Hotelschool The Hague, Leiden University ,0.8091757458804116,0.9212962962962963
87, Design academy Eindhoven , Leiden University ,0.7824976974926336,0.9017341040462428
88, Royal academy of art The Hague, Leiden University ,0.8132835010760069,0.9351011863224006
89,Wittenborg, Leiden University ,0.850098437986415,0.9517482517482517
90, Royal Conservatoire The Hague, Leiden University ,0.9000546426800099,0.9823529411764705
91,codarts, Leiden University ,0.8832272317374831,0.9661733615221987
92,Webster, Leiden University ,0.8332431506165633,0.9513242662848962
93,amsterdamuas, Leiden University ,0.7495240045782025,0.875615763546798
94, EUR , WUR ,0.8456216180130692,0.9490909090909091
95, Leiden University , WUR ,0.8702882792511519,0.972201901975128
96, WUR , WUR ,0.0,0.0
97, rug , WUR ,0.8590290313913498,0.968798751950078
98, Maastricht University , WUR ,0.8430555823919161,0.9306569343065694
99, Vrije Universiteit Amsterdam , WUR ,0.8187793910977311,0.9413793103448276
100, TU Eindhoven , WUR ,0.9101973489866125,0.9560439560439561
101, University of Twente , WUR ,0.825498796810056,0.9526627218934911
102, Tilburg University , WUR ,0.8395374204475706,0.9588607594936709
103, Open University , WUR ,0.8309369434998565,0.9127906976744186
104, HAN , WUR ,0.8939339828220179,0.9444444444444444
105,ZUYD, WUR ,0.8981727150716354,0.967741935483871
106,AUAS , WUR ,0.8726866364880119,0.9516539440203562
107, international HU , WUR ,0.9007666040033451,0.961218836565097
108,tinbergen, WUR ,0.8979379273840342,0.9509803921568627
109,artez, WUR ,0.9093816860004734,0.9631901840490797
110,Viaa, WUR ,0.9387137077693175,0.9693251533742331
111,marnix, WUR ,0.872503319814933,0.951530612244898
112,hku, WUR ,0.9191254200974212,0.9696969696969697
113, Amsterdam University College, WUR ,0.78002932746797,0.8938053097345133
114,avans, WUR ,0.875,0.9688128772635815
115, UVH , WUR ,0.8671716364445805,0.9715743440233237
116,vlhuas , WUR ,0.9600956557766189,0.9815668202764977
117,Windesheim, WUR ,0.9393660937409167,0.9715639810426541
118,AHK , WUR ,0.8627831938760955,0.9536679536679536
119, TIAS , WUR ,0.8643708354730802,0.9654811715481172
120,BUAS , WUR ,0.8865025137313034,0.958997722095672
121,TU Delft, WUR ,0.9273452257851129,0.9624060150375939
122, HZ , WUR ,0.8786174048602846,0.9617940199335548
123, tio , WUR ,0.8758250915251522,0.9458483754512635
124, hogeschool Leiden , WUR ,0.9543564535412361,0.9782608695652174
125, rotterdam uas , WUR ,0.8660762219361583,0.96105702364395
126,Fontys, WUR ,0.8982833160991581,0.9595375722543352
127,Aeres, WUR ,0.9135544906489844,0.9640522875816994
128,Saxion, WUR ,0.849516187802148,0.95
129,NHL Stendedn, WUR ,0.8639732031043728,0.9739733950260266
130, Universiteit Utrecht , WUR ,0.9206249206248809,0.9586776859504132
131,The Hague, WUR ,0.9183839218626237,0.963265306122449
132, HAS, WUR ,0.9378164577296136,0.9725490196078431
133, Hotelschool The Hague, WUR ,0.8825559560970593,0.9526627218934911
134, Design academy Eindhoven , WUR ,0.8633479583474697,0.9490291262135923
135, Royal academy of art The Hague, WUR ,0.8989079894621015,0.953781512605042
136,Wittenborg, WUR ,0.8906108734258371,0.9478672985781991
137, Royal Conservatoire The Hague, WUR ,0.904688393542122,0.9509803921568627
138,codarts, WUR ,0.9443205746015783,0.972972972972973
139,Webster, WUR ,0.921422680363286,0.9613259668508287
140,amsterdamuas, WUR ,0.8978327629330376,0.9661016949152542
141, EUR , rug ,0.7388455595087939,0.8655569782330346
142, Leiden University , rug ,0.7382273873384271,0.8494909251881364
143, WUR , rug ,0.8590290313913498,0.968798751950078
144, rug , rug ,0.0,0.0
145, Maastricht University , rug ,0.8304556465110047,0.9348137535816619
146, Vrije Universiteit Amsterdam , rug ,0.7162797475088317,0.8498727735368956
147, TU Eindhoven , rug ,0.9088511197817309,0.985837922895358
148, University of Twente , rug ,0.6802051527182031,0.814709236031927
149, Tilburg University , rug ,0.7011765327050898,0.8267885960193653
150, Open University , rug ,0.8296736160361385,0.9490106544901066
151, HAN , rug ,0.8843694276898095,0.9773260359655981
152,ZUYD, rug ,0.8029629784501968,0.900549115314216
153,AUAS , rug ,0.7596925794352408,0.8901174844505875
154, international HU , rug ,0.8289341724730012,0.926812585499316
155,tinbergen, rug ,0.8779915472882254,0.9608856088560885
156,artez, rug ,0.8467053820216472,0.9375866851595007
157,Viaa, rug ,0.9060012827972699,0.9743975903614458
158,marnix, rug ,0.7926445239149104,0.9066757493188011
159,hku, rug ,0.8449468370402947,0.9319999999999999
160, Amsterdam University College, rug ,0.7932701415177569,0.9255952380952381
161,avans, rug ,0.7653515490256015,0.8684344722080571
162, UVH , rug ,0.6950234913461973,0.8201992753623188
163,vlhuas , rug ,0.8784923523717585,0.9603232916972814
164,Windesheim, rug ,0.8700761684627902,0.9579025110782866
165,AHK , rug ,0.7807726912217152,0.8914431673052363
166, TIAS , rug ,0.7858585234166511,0.8816598360655737
167,BUAS , rug ,0.8108462109924708,0.9123847167325428
168,TU Delft, rug ,0.9016747466068921,0.9769585253456221
169, HZ , rug ,0.8131135126660773,0.9055354993983152
170, tio , rug ,0.841287482070386,0.939329050678087
171, hogeschool Leiden , rug ,0.9073444246476275,0.9858267716535433
172, rotterdam uas , rug ,0.7777629068023846,0.8812680115273775
173,Fontys, rug ,0.8082657558834394,0.918580375782881
174,Aeres, rug ,0.849332929348092,0.9403927068723703
175,Saxion, rug ,0.7573764259714069,0.8769132653061225
176,NHL Stendedn, rug ,0.710913719836228,0.8333333333333334
177, Universiteit Utrecht , rug ,0.8603540188502201,0.9695550351288056
178,The Hague, rug ,0.8465933654791304,0.945375091041515
179, HAS, rug ,0.8336950497403464,0.9395484340859432
180, Hotelschool The Hague, rug ,0.8162261730479102,0.9227557411273486
181, Design academy Eindhoven , rug ,0.8180013437265338,0.9174983366600133
